roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
-47.3316,15.5351,-6.6467,-0.1657,0.0821,0.1200,0.0000,0.0000,0.0000,0.1111,-0.0341,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,2.3329,-0.3703,0.1976,-0.0600,-0.1289,0.9921,0.1433,-0.0752,-0.1470,0.0788,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.6322,50.1461,0.0200,0.0000
-47.2698,15.5258,-6.6327,0.1657,0.1642,0.2400,0.0600,0.3200,0.0000,0.1112,-0.0339,0.0002,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.3246,-0.4713,0.1464,-0.0582,-0.1296,0.9955,0.1453,-0.0776,-0.1448,0.0771,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.6738,50.1838,0.0400,0.0100
-47.2071,15.5146,-6.6161,0.0000,-0.0000,0.1200,0.0000,0.0000,0.0000,0.1108,-0.0339,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.2807,-0.7737,0.1812,-0.0600,-0.1271,0.9943,0.1429,-0.0752,-0.1464,0.0787,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.7154,50.2216,0.0200,0.0000
-47.1452,15.5024,-6.5989,0.0829,0.2462,0.1200,0.0000,0.0000,0.0000,0.1107,-0.0338,-0.0019,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.2081,-0.8623,0.2164,-0.0563,-0.1269,0.9918,0.1426,-0.0750,-0.1464,0.0788,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.7570,50.2594,0.0200,0.0000
-47.0847,15.4893,-6.5810,-0.0829,-0.0000,0.1200,0.0000,0.0000,0.0000,0.1107,-0.0337,-0.0017,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.9838,-0.8912,0.1453,-0.0571,-0.1216,0.9967,0.1427,-0.0753,-0.1461,0.0786,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.7986,50.2971,0.0200,0.0000
-47.0265,15.4762,-6.5629,0.0829,0.1642,0.1200,0.0000,0.0000,0.0000,0.1107,-0.0337,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.7295,-0.8963,0.2005,-0.0582,-0.1229,0.9949,0.1426,-0.0751,-0.1462,0.0787,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.8403,50.3349,0.0200,0.0000
-46.9719,15.4634,-6.5456,0.0000,0.2462,0.1200,0.0000,0.0000,0.0000,0.1107,-0.0337,-0.0015,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.4332,-0.7697,0.0880,-0.0558,-0.1212,0.9917,0.1429,-0.0754,-0.1459,0.0784,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.8819,50.3726,0.0200,0.0000
-46.9198,15.4509,-6.5300,0.1657,0.4104,0.2400,0.0600,0.3200,0.0000,0.1109,-0.0337,0.0003,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.2971,-0.5876,0.1139,-0.0544,-0.1269,0.9960,0.1449,-0.0775,-0.1442,0.0769,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.9236,50.4103,0.0400,0.0100
-46.8688,15.4397,-6.5150,0.1657,0.1642,0.1200,0.0000,0.0000,0.0000,0.1105,-0.0338,-0.0016,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.2243,-0.4686,0.1514,-0.0545,-0.1252,0.9934,0.1427,-0.0751,-0.1460,0.0783,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.9653,50.4481,0.0200,0.0000
-46.8179,15.4296,-6.5014,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.1104,-0.0339,-0.0016,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.3501,-0.3031,0.1482,-0.0552,-0.1293,0.9973,0.1426,-0.0748,-0.1459,0.0781,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.0070,50.4858,0.0200,0.0000
-46.7653,15.4203,-6.4889,0.0000,0.4104,0.1200,0.0000,0.0000,0.0000,0.1101,-0.0339,-0.0017,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.5795,-0.2261,0.1598,-0.0548,-0.1319,0.9955,0.1423,-0.0745,-0.1457,0.0780,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.0487,50.5235,0.0200,0.0000
-46.7097,15.4111,-6.4759,0.0829,0.2462,0.1200,0.0000,0.0000,0.0000,0.1099,-0.0338,-0.0017,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.9001,-0.2809,0.1436,-0.0560,-0.1312,0.9956,0.1421,-0.0744,-0.1454,0.0777,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.0905,50.5612,0.0200,0.0000
-46.6510,15.4022,-6.4633,0.0829,0.2462,0.1200,0.0000,0.0000,0.0000,0.1097,-0.0339,-0.0016,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.1097,-0.1453,0.1288,-0.0564,-0.1291,0.9994,0.1419,-0.0742,-0.1452,0.0774,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.1322,50.5989,0.0200,0.0000
