roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
39.6405,34.4625,12.8866,-0.0829,0.0000,0.1800,1.6200,0.6400,0.0000,-0.4006,-0.2833,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1340,-0.0544,-0.0800,-0.0205,0.0134,1.0013,-0.1157,0.6822,0.1190,-0.6855,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.4033,41.0734,0.0300,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.6059,34.4428,12.8661,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4008,-0.2831,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.0953,-0.0097,-0.0356,-0.0211,0.0149,0.9973,-0.1161,0.6824,0.1192,-0.6855,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.3716,41.0478,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.5715,34.4232,12.8456,0.0829,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4005,-0.2830,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.1216,0.0006,-0.0551,-0.0188,0.0160,0.9988,-0.1159,0.6819,0.1191,-0.6851,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.3403,41.0222,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.5370,34.4036,12.8255,-0.1657,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4001,-0.2827,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0711,-0.0639,-0.0083,-0.0173,0.0157,0.9999,-0.1160,0.6814,0.1188,-0.6843,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.3085,40.9965,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.5028,34.3839,12.8052,-0.0829,0.0821,0.1200,1.6200,0.6400,0.0000,-0.3999,-0.2826,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1114,-0.0595,-0.0161,-0.0183,0.0136,1.0007,-0.1159,0.6810,0.1188,-0.6840,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.2770,40.9706,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.4681,34.3645,12.7850,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3996,-0.2826,0.0017,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1104,0.0827,-0.0839,-0.0187,0.0136,0.9965,-0.1153,0.6805,0.1187,-0.6839,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.2456,40.9447,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.4340,34.3454,12.7649,0.0000,-0.0821,0.1800,1.6200,0.6400,0.0000,-0.3988,-0.2823,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.1237,-0.0280,-0.0206,-0.0202,0.0160,0.9967,-0.1150,0.6796,0.1180,-0.6826,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.2137,40.9190,0.0300,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.3996,34.3257,12.7444,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3991,-0.2821,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.1435,-0.0455,-0.0850,-0.0186,0.0134,0.9968,-0.1153,0.6795,0.1186,-0.6828,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.1821,40.8930,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.3653,34.3060,12.7239,-0.0829,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3987,-0.2819,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1338,-0.0398,-0.0303,-0.0178,0.0141,0.9998,-0.1153,0.6792,0.1183,-0.6822,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.1503,40.8672,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.3311,34.2862,12.7038,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3984,-0.2818,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0824,-0.0097,-0.0560,-0.0201,0.0141,1.0006,-0.1149,0.6785,0.1182,-0.6818,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.1188,40.8413,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
