3.05433e-06i + 3.80482e-06j + -3.82402e-05k + 1
-1.67552e-06i + 5.00037e-06j + -7.63582e-06k + 1
-3.4732e-06i + -3.31612e-07j + 2.74017e-06k + 1
-9.22314e-06i + 5.1133e-06j + -1.91792e-05k + 1
8.72665e-08i + 7.85399e-08j + -2.57436e-05k + 1
-4.10152e-06i + 4.41568e-06j + 2.36667e-05k + 1
-1.93732e-06i + -4.27606e-07j + -2.83616e-06k + 1
-6.03011e-06i + 2.83616e-06j + 2.01324e-05k + 1
-5.18363e-06i + 2.17293e-06j + -1.26449e-05k + 1
-9.19008e-06i + -3.40373e-07j + -3.07209e-06k + 1
-3.70883e-06i + -1.80642e-06j + -3.12414e-06k + 1
1.74533e-07i + 2.95833e-06j + -5.70723e-06k + 1
-2.25147e-06i + 2.61799e-06j + -4.37205e-06k + 1
-1.69297e-06i + 3.93572e-06j + -1.00531e-05k + 1
-2.46964e-06i + 3.20268e-06j + -1.10392e-05k + 1
-2.01586e-06i + 4.05789e-06j + 2.45219e-06k + 1
-1.0532e-05i + 1.58809e-06j + -8.50763e-06k + 1
-1.25664e-06i + 7.61836e-06j + 1.8326e-06k + 1
4.10152e-07i + 2.88852e-06j + 6.80679e-07k + 1
-4.40696e-06i + -3.06305e-06j + -8.58702e-06k + 1
0i + 3.05433e-06j + -2.02458e-06k + 1
2.3562e-07i + 3.22886e-07j + -1.57952e-06k + 1
2.41752e-06i + 3.84011e-07j + -2.99354e-06k + 1
-3.19395e-06i + 2.03331e-06j + -4.21497e-06k + 1
-3.63901e-06i + 1.8675e-06j + 4.45059e-07k + 1
1.95477e-06i + 4.76475e-06j + -9.68658e-07k + 1
2.47837e-06i + 3.8659e-06j + -6.51881e-06k + 1
3.97062e-06i + -7.85397e-08j + -3.60411e-06k + 1
1.00346e-06i + 1.24779e-06j + -3.6561e-06k + 1
6.53626e-06i + 6.58862e-06j + -8.00233e-06k + 1
-3.66519e-06i + 1.91986e-07j + -9.51205e-07k + 1
-2.60054e-06i + 2.15548e-06j + -5.60251e-06k + 1
-4.67748e-06i + 4.27606e-06j + -5.98648e-06k + 1
-6.98131e-08i + 1.39626e-07j + -5.14872e-07k + 1
-8.02932e-07i + 2.12951e-06j + -4.04084e-06k + 1
3.88336e-06i + 4.46804e-06j + -6.37045e-06k + 1
1.42244e-06i + 6.69334e-06j + -4.86947e-06k + 1
-2.84489e-06i + 3.7001e-06j + -9.42478e-07k + 1
-3.33358e-06i + 3.87463e-06j + -3.71755e-06k + 1
-1.92859e-06i + -6.19592e-07j + -3.92699e-06k + 1
4.36332e-06i + 5.27962e-06j + -8.09833e-06k + 1
1.66662e-06i + 1.90222e-06j + -6.36981e-07k + 1
-4.71239e-07i + 1.9984e-06j + -2.70526e-06k + 1
3.49066e-07i + -1.50971e-06j + -5.68105e-06k + 1
-1.8675e-06i + 6.09993e-06j + -5.65487e-06k + 1
-6.84169e-06i + 3.14159e-07j + -4.69494e-06k + 1
2.11185e-06i + 7.50492e-07j + -5.34071e-06k + 1
-5.09687e-06i + 3.56956e-06j + -3.86629e-06k + 1
-5.71595e-06i + 4.36333e-08j + -2.74889e-06k + 1
2.26893e-07i + 1.309e-06j + -6.44026e-06k + 1
1.69297e-06i + 6.80678e-07j + -4.30224e-06k + 1
-1.88496e-06i + 2.03331e-06j + -7.28675e-06k + 1
-3.09796e-06i + 5.07018e-06j + -3.07178e-06k + 1
8.464e-07i + 3.93532e-06j + -3.23726e-06k + 1
8.55211e-07i + 7.50492e-07j + -6.06502e-06k + 1
2.18166e-07i + -3.91826e-06j + -2.7838e-06k + 1
-2.08567e-06i + -5.11382e-06j + -6.93768e-06k + 1
2.11185e-06i + -1.66679e-06j + -5.84685e-06k + 1
-3.38594e-06i + -1.0472e-07j + -3.27249e-06k + 1
2.61826e-07i + 4.59067e-06j + -4.78268e-06k + 1
-5.36689e-06i + 8.94481e-06j + -3.92699e-06k + 1
-4.14516e-06i + 8.25541e-06j + -3.11541e-06k + 1
-2.35619e-07i + 6.99877e-06j + -6.53626e-06k + 1
-2.92343e-06i + -4.13643e-06j + -5.93412e-06k + 1
-5.72468e-06i + 8.18559e-06j + -9.62549e-06k + 1
-3.07178e-06i + 6.37918e-06j + 1.22173e-07k + 1
-2.06801e-06i + 4.75555e-06j + -5.01732e-06k + 1
-2.17293e-06i + 5.64614e-06j + -5.62869e-06k + 1
-2.87107e-06i + 3.36849e-06j + -2.32129e-06k + 1
4.01426e-07i + 7.15585e-07j + -5.8294e-06k + 1
-4.8782e-06i + 3.46448e-06j + -1.49226e-06k + 1
-2.74889e-06i + 2.74017e-06j + -3.78736e-06k + 1
-2.37365e-06i + -1.44862e-06j + -4.26733e-06k + 1
-5.21853e-06i + 1.94604e-06j + -4.18006e-06k + 1
-6.17847e-06i + 3.64774e-06j + 1.26536e-06k + 1
3.51684e-06i + -2.9147e-06j + -3.70882e-06k + 1
-1.64061e-06i + 2.58309e-06j + -4.42441e-06k + 1
-3.46448e-06i + 4.39823e-06j + -3.50811e-06k + 1
-6.98201e-08i + 3.29027e-06j + -2.57462e-06k + 1
-6.45772e-07i + 1.90241e-06j + -7.34784e-06k + 1
2.87107e-06i + 1.51844e-06j + -3.54302e-06k + 1
1.00356e-06i + -4.97419e-07j + -5.22726e-06k + 1
-4.52913e-06i + 3.76991e-06j + -3.57793e-07k + 1
8.02852e-07i + -1.64934e-06j + -7.59218e-06k + 1
-4.07534e-06i + 2.79253e-06j + -1.61443e-06k + 1
-2.26893e-07i + 4.57276e-06j + -5.82067e-06k + 1
-2.55691e-06i + -3.66519e-07j + -7.51364e-06k + 1
-2.21657e-06i + -4.36332e-08j + -5.78577e-06k + 1
-4.5204e-06i + 7.1733e-06j + -8.01979e-06k + 1
2.00713e-07i + 4.56404e-06j + -7.10349e-06k + 1
-1.39626e-07i + 1.74533e-08j + -4.21497e-06k + 1
-3.1151e-06i + 2.46067e-06j + -4.86026e-06k + 1
-1.67552e-06i + 3.78736e-06j + -4.56404e-06k + 1
2.96706e-06i + -3.31612e-07j + -8.3514e-06k + 1
3.10669e-06i + -3.40339e-07j + -2.80125e-06k + 1
-5.23598e-08i + 3.14159e-07j + -5.13999e-06k + 1
-3.15905e-06i + 4.81711e-06j + -3.81354e-06k + 1
1.07338e-06i + 1.85005e-06j + -4.53786e-06k + 1
1.50971e-06i + 6.80678e-06j + -2.33874e-06k + 1
1.36136e-06i + 3.74373e-06j + -7.6969e-06k + 1
-8.67429e-06i + 2.48709e-06j + -3.20268e-06k + 1
-1.35263e-06i + 4.08407e-06j + 1.82387e-06k + 1
-1.4748e-06i + 2.80998e-06j + -7.57473e-06k + 1
4.53831e-07i + 6.52818e-06j + -5.72525e-06k + 1
7.67945e-07i + 5.48906e-06j + -1.90241e-06k + 1
-2.96706e-07i + 3.68265e-06j + -3.18523e-06k + 1
-1.58825e-06i + 6.28319e-06j + -7.85398e-06k + 1
-2.89725e-06i + 3.49064e-08j + -2.17293e-06k + 1
-3.66519e-06i + 6.24828e-06j + 1.76278e-06k + 1
-4.06662e-06i + 1.65806e-07j + -5.78577e-06k + 1
-4.23242e-06i + 2.29511e-06j + -1.19555e-06k + 1
-1.09083e-06i + 6.57117e-06j + -5.34071e-06k + 1
-2.63545e-06i + -8.02851e-07j + -9.75639e-06k + 1
-3.735e-06i + 5.52397e-06j + -3.15905e-06k + 1
-4.71239e-06i + -1.15192e-06j + -6.44899e-06k + 1
-5.31453e-06i + 1.30027e-06j + -5.3058e-06k + 1
-3.57757e-06i + 7.76594e-07j + -1.16053e-06k + 1
-1.53589e-06i + 3.13287e-06j + -6.71952e-07k + 1
-4.45932e-06i + 1.32645e-06j + -5.78577e-06k + 1
9.5993e-08i + 5.39307e-06j + -4.1277e-06k + 1
-6.7806e-06i + -2.89725e-06j + -4.29351e-06k + 1
-1.35263e-06i + 3.49066e-06j + -4.40696e-06k + 1
-8.72664e-09i + 3.68265e-06j + -4.99164e-06k + 1
-3.05433e-07i + 7.11222e-06j + -3.01069e-06k + 1
-4.6164e-06i + -3.37721e-06j + -7.5311e-06k + 1
-3.9968e-06i + 2.10312e-06j + -2.45219e-06k + 1
-5.20981e-06i + 1.213e-06j + -4.34587e-06k + 1
3.15032e-06i + 9.61676e-06j + -8.11578e-07k + 1
-1.44004e-06i + 9.98428e-06j + -7.41839e-06k + 1
-2.76635e-06i + 3.66519e-06j + -7.36529e-06k + 1
-5.13127e-06i + 6.02139e-07j + -8.66556e-06k + 1
-3.0456e-06i + 2.39983e-06j + -3.89208e-06k + 1
-4.60767e-06i + 2.88852e-06j + -5.11381e-06k + 1
2.46964e-06i + 6.40536e-06j + -2.74889e-06k + 1
6.71952e-07i + -1.13446e-06j + -1.95477e-06k + 1
-4.59894e-06i + 1.309e-06j + -2.45219e-06k + 1
-2.93215e-06i + 1.79769e-06j + -6.02139e-06k + 1
-3.49939e-06i + 6.36173e-06j + -4.28478e-06k + 1
-5.87303e-06i + 2.39983e-06j + -5.75959e-07k + 1
-4.85202e-06i + 3.0456e-06j + -7.1384e-06k + 1
-4.50295e-06i + -3.28995e-06j + -3.53429e-06k + 1
-5.32272e-07i + -7.06788e-07j + -7.63505e-06k + 1
3.41212e-06i + 2.84489e-06j + -7.11222e-06k + 1
3.05433e-06i + 7.64454e-06j + -4.97419e-06k + 1
-2.34747e-06i + -6.64098e-06j + -2.24275e-06k + 1
1.39626e-07i + 8.11578e-07j + -7.1733e-06k + 1
8.29031e-07i + -2.67908e-06j + -3.72628e-06k + 1
-3.3074e-06i + 2.74889e-06j + -5.98648e-06k + 1
-9.72149e-06i + 2.22529e-06j + -5.54142e-06k + 1
-1.18682e-06i + 2.49582e-06j + -4.79966e-06k + 1
-3.63028e-06i + -3.31613e-06j + -5.3058e-06k + 1
